Titoloo;Disponibilita;indirizzo;Numero_candidature;Lista_candidati;Tipologia;Posizione_Lavorativa;Nome_Azienda;Orario_lavoro;Tipo_contratto;Retribuzione;Nome_sede;Info_Utili;proprietario_email
Addetto/a spedizioni internazionali - Richiesta precisione;True;36;48;[];True;Addetto/a spedizioni;ArredoMobili;07:00-19:04;ALTRO;2719.35;Sede Operativa Sud;Competenza in spedizioni internazionali, conoscenza delle normative doganali e precisione. Livello di istruzione richiesto: diploma o laurea.;volontario3@example.com
Conducente mezzi pesanti - Viaggi nazionali;True;37;83;[];True;Conducente mezzi pesanti;AutoFix;10:00-19:04;PROGETTO;4022.99;Filiale Centro;Patente CE, esperienza nella guida di mezzi pesanti e disponibilità per viaggi nazionali. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a smistamento pacchi - Inizio immediato;True;38;94;[];True;Addetto/a smistamento;Carpenteria Italiana;10:00-18:04;COOPERATIVA;3153.84;Centro Manutenzioni Napoli;Precisione nello smistamento pacchi, affidabilità e disponibilità a lavorare su turni. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Raccoglitore di frutta stagionale - Alloggio incluso;True;39;66;[];True;Raccoglitore di frutta;IdroPower;08:00-19:05;APPRENDISTATO;3759.29;Headquarters Milano;Non è richiesta esperienza. Necessarie buone condizioni fisiche e disponibilità a lavorare su turni. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Operaio/a agricolo - Contratto regolare e formazione;True;40;31;[];True;Operaio/a agricolo;EcoManutenzioni;07:00-18:05;FULL_TIME;4908.47;Headquarters Milano;Richiesta affidabilità e capacità di lavorare in squadra. Formazione inclusa. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Lavoro nei campi - Opportunità stagionale e alloggio;True;41;68;[];True;Addetto/a campi;ArredoMobili;09:00-17:05;APPRENDISTATO;1965.86;Officina Torino;Ideale per lavoratori stagionali. Resistenza fisica e flessibilità oraria richieste. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Addetto/a serre e coltivazioni - Lavoro full-time;True;42;71;[];True;Addetto/a serre;LiftTech;07:00-19:05;APPRENDISTATO;3935.31;Sede Operativa Sud;Esperienza in serre o coltivazioni è preferibile. Richiesta precisione e capacità di lavorare con attrezzi agricoli. Livello di istruzione richiesto: diploma.;volontario3@example.com
Potatore di vigneti - Contratto a progetto;True;43;52;[];True;Potatore di vigneti;ArredoMobili;10:00-19:05;ALTRO;5998.25;Filiale Centro;Richiesta esperienza nella potatura di vigneti e utilizzo di forbici professionali. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Operaio/a in azienda agricola - Possibilità di lungo termine;True;44;71;[];True;Operaio/a agricolo;AutoFix;10:00-18:05;COLLABORAZIONE;5376.08;UnitÃ  Produttiva Roma;Capacità di adattamento a diverse mansioni agricole. Possibilità di stabilizzazione contrattuale. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Addetto/a alla cura degli animali - Offerta con vitto incluso;True;45;63;[];True;Addetto/a cura animali;GreenGarden;08:00-19:06;PROGETTO;3732.68;Sede Operativa Sud;Amore per gli animali, esperienza preferibile in allevamenti. Vitto incluso. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Raccolta olive e uva - Posizione temporanea ben pagata;True;46;70;[];True;Raccoglitore olive e uva;IdroPower;07:00-18:06;PART_TIME;5655.34;Centro Manutenzioni Napoli;Richiesta resistenza fisica e velocità nella raccolta. Lavoro stagionale ben remunerato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Giardiniere esperto cercasi - Contratto part-time;True;47;1;[];True;Giardiniere esperto;GreenGarden;09:00-17:06;COOPERATIVA;4324.18;UnitÃ  Produttiva Roma;Esperienza nella manutenzione di giardini e utilizzo di attrezzi da giardinaggio. Contratto part-time. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Aiuto coltivatore biologico - Progetto a gestione familiare;True;48;81;[];True;Aiuto coltivatore;LiftTech;07:00-19:06;COOPERATIVA;3043.89;Laboratorio Firenze;Interesse per l'agricoltura biologica, lavoro a stretto contatto con la natura. Progetto familiare. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Badante convivente - Vitto e alloggio inclusi;True;49;51;[];True;Badante convivente;TecnoMetal;10:00-19:06;COOPERATIVA;5478.81;Officina Torino;Richiesta pazienza, capacità di cura e attenzione ai dettagli. Vitto e alloggio inclusi. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Operatore/trice socio-sanitario - Contratto regolare;True;50;72;[];True;Operatore/trice socio-sanitario;EcoManutenzioni;10:00-18:06;COLLABORAZIONE;4798.07;Sede Operativa Sud;Necessario attestato OSS e predisposizione al lavoro con anziani. Contratto regolare. Livello di istruzione richiesto: diploma professionale.;volontario1@example.com
Baby sitter flessibile - Esperienza non richiesta;True;51;56;[];True;Baby sitter;IdroPower;08:00-19:07;PART_TIME;3667.92;Laboratorio Firenze;Flessibilità oraria, amore per i bambini e capacità di intrattenimento. Non è richiesta esperienza pregressa. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Assistente familiare cercasi - Supporto garantito;True;52;64;[];True;Assistente familiare;Verniciature Rossi;07:00-18:07;ALTRO;3420.58;Laboratorio Firenze;Richiesta empatia, organizzazione e capacità di supportare la famiglia in diverse attività quotidiane. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a pulizie domestiche - Lavoro stabile;True;53;5;[];True;Addetto/a pulizie domestiche;Carpenteria Italiana;09:00-17:07;APPRENDISTATO;2224.19;Laboratorio Firenze;Precisione e affidabilità nella pulizia di ambienti domestici. Lavoro stabile con possibilità di orari flessibili. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Tutor scolastico per ripetizioni - Compensi orari garantiti;True;54;58;[];True;Tutor scolastico;TecnoMetal;07:00-19:07;INTERNSHIP;2895.09;Divisione Tecnica Bologna;Competenze in una o più materie scolastiche e capacità di insegnamento. Compensi orari garantiti. Livello di istruzione richiesto: laurea o diploma avanzato.;volontario3@example.com
Operatore/trice assistenza disabili - Formazione inclusa;True;55;29;[];True;Operatore/trice assistenza disabili;GreenGarden;10:00-19:07;ALTRO;5996.08;Filiale Centro;Empatia, capacità di lavorare in contesti delicati e volontà di apprendere. Formazione inclusa. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Insegnante di italiano per stranieri - Progetto inclusivo;True;56;33;[];True;Insegnante di italiano;IdroPower;10:00-18:07;COOPERATIVA;4622.7;Filiale Centro;Esperienza nell'insegnamento della lingua italiana a stranieri. Preferibile certificazione DITALS o equivalente. Livello di istruzione richiesto: laurea.;volontario1@example.com
Cuoco/a per comunità locale - Turni flessibili;True;57;4;[];True;Cuoco/a;TecnoMetal;08:00-19:08;INTERNSHIP;4481.18;UnitÃ  Produttiva Roma;Esperienza nella preparazione di pasti per gruppi numerosi. Turni flessibili. Livello di istruzione richiesto: diploma alberghiero o equivalente.;volontario3@example.com
Addetto/a alla lavanderia - Contratto con formazione;True;58;86;[];True;Addetto/a lavanderia;GreenGarden;07:00-18:08;APPRENDISTATO;4456.16;Filiale Centro;Precisione e capacità di utilizzo di macchinari per lavanderie. Contratto regolare con formazione iniziale. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Commesso/a per negozio di abbigliamento - Part time;True;59;89;[];True;Commesso/a;Carpenteria Italiana;09:00-17:08;PROGETTO;3365.92;Officina Torino;Capacità relazionali, conoscenza base di cassa e gestione clienti. Ideale per studenti o chi cerca un part-time. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Cassiere/a per supermercato - Lavoro stabile;True;60;2;[];True;Cassiere/a;GreenGarden;07:00-19:08;FULL_TIME;4259.71;Sede Operativa Sud;Esperienza nella gestione della cassa, precisione e attenzione al cliente. Contratto stabile. Livello di istruzione richiesto: diploma di scuola superiore.;volontario3@example.com
Addetto/a reparto freschi - Ambiente dinamico;True;61;23;[];True;Addetto/a reparto freschi;EcoManutenzioni;10:00-19:08;PROGETTO;1906.56;Headquarters Milano;Esperienza in reparti freschi (salumi, formaggi, ecc.) preferibile. Richieste velocità e precisione. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Responsabile di negozio - Possibilità di crescita;True;62;2;[];True;Responsabile di negozio;TecnoMetal;10:00-18:08;COOPERATIVA;4496.08;Officina Torino;Capacità di leadership, gestione del personale e conoscenza delle vendite. Opportunità di crescita. Livello di istruzione richiesto: diploma o laurea.;volontario1@example.com
Addetto/a vendite online - Contratto a progetto;True;63;35;[];True;Addetto/a vendite online;Verniciature Rossi;08:00-19:09;FULL_TIME;2354.49;UnitÃ  Produttiva Roma;Competenza in piattaforme e-commerce e gestione clienti online. Contratto a progetto. Livello di istruzione richiesto: diploma.;volontario3@example.com
Specialista in Creazione di Corsi Online - Inizio immediato!;True;64;42;[];True;Specialista in Creazione di Corsi Online;ElettroService;07:00-18:09;INTERNSHIP;4232.73;Divisione Tecnica Bologna;Siamo alla ricerca di un Specialista in Creazione di Corsi Online con passione per l’educazione digitale e la formazione.;volontario2@example.com
Addetto/a scaffalature - Lavoro serale;True;65;74;[];True;Addetto/a scaffalature;LiftTech;09:00-17:09;COLLABORAZIONE;2300.13;Centro Manutenzioni Napoli;Velocità e precisione nel riassortimento scaffali. Disponibilità a lavorare di sera. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Consulente vendita prodotti cosmetici - Formazione offerta;True;66;64;[];True;Consulente vendita cosmetici;EcoManutenzioni;07:00-19:09;COLLABORAZIONE;5296.88;Headquarters Milano;Passione per il settore cosmetico e buone doti relazionali. Formazione garantita. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Operatore/trice e-commerce - Lavoro flessibile;True;67;16;[];True;Operatore/trice e-commerce;EcoManutenzioni;10:00-19:09;COOPERATIVA;2549.46;UnitÃ  Produttiva Roma;Gestione ordini online, customer care e conoscenza delle piattaforme digitali. Lavoro flessibile. Livello di istruzione richiesto: diploma.;volontario2@example.com
Addetto/a mercato ambulante - Lavoro immediato;True;68;40;[];True;Addetto/a mercato ambulante;Carpenteria Italiana;10:00-18:09;INTERNSHIP;1692.41;Centro Manutenzioni Napoli;Spirito di adattamento, capacità di vendita e disponibilità a lavorare all’aperto. Lavoro immediato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Receptionist per hotel - Turni flessibili e formazione;True;69;67;[];True;Receptionist;ArredoMobili;08:00-19:10;APPRENDISTATO;2783.24;Hub Tecnologico Genova;Richieste buone capacità comunicative, conoscenza base di inglese e disponibilità a turni flessibili. Formazione inclusa. Livello di istruzione richiesto: diploma di scuola superiore.;volontario3@example.com
Guida turistica multilingue - Esperienza non richiesta;True;70;50;[];True;Guida turistica;IdroPower;07:00-18:10;COOPERATIVA;3195.38;Hub Tecnologico Genova;Conoscenza fluente di almeno due lingue straniere, predisposizione al contatto con il pubblico. Non è richiesta esperienza. Livello di istruzione richiesto: diploma.;volontario2@example.com
Addetto/a accoglienza ospiti - Hotel 3 stelle;True;71;5;[];True;Addetto/a accoglienza ospiti;LiftTech;09:00-17:10;PART_TIME;1510.34;Sede Operativa Sud;Ottime doti relazionali, preferibile esperienza in hotel, conoscenza di una lingua straniera. Livello di istruzione richiesto: diploma.;volontario1@example.com
Animatore/trice turistico - Contratto stagionale;True;72;44;[];True;Animatore/trice turistico;TecnoMetal;07:00-19:10;FULL_TIME;1780.22;Filiale Centro;Energia, creatività e predisposizione al lavoro di gruppo. Contratto stagionale in villaggi turistici. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Addetto/a alle pulizie hotel - Opportunità immediata;True;73;24;[];True;Addetto/a alle pulizie;IdroPower;10:00-19:10;COOPERATIVA;1975.43;Officina Torino;Esperienza nella pulizia di camere e spazi comuni preferibile. Lavoro immediato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Organizzatore di eventi - Lavoro dinamico;True;74;17;[];True;Organizzatore di eventi;IdroPower;10:00-18:10;INTERNSHIP;3045.32;Divisione Tecnica Bologna;Capacità di pianificazione, creatività e gestione del budget. Preferibile esperienza nel settore eventi. Livello di istruzione richiesto: laurea o diploma tecnico.;volontario1@example.com
Gestione case vacanze - Posizione stabile;True;75;65;[];True;Gestione case vacanze;EcoManutenzioni;08:00-19:11;COOPERATIVA;2988.83;Officina Torino;Capacità organizzative, gestione clienti e piattaforme di booking online. Posizione stabile. Livello di istruzione richiesto: diploma.;volontario3@example.com
Assistente di viaggio - Formazione inclusa;True;76;6;[];True;Assistente di viaggio;TecnoMetal;07:00-18:11;INTERNSHIP;1543.64;Officina Torino;Richiesta flessibilità, capacità organizzative e predisposizione al contatto con i clienti. Formazione inclusa. Livello di istruzione richiesto: diploma.;volontario2@example.com
Addetto/a ristorante in struttura turistica - Full time;True;77;61;[];True;Addetto/a ristorante;ArredoMobili;09:00-17:11;APPRENDISTATO;2872.21;Headquarters Milano;Esperienza in sala o cucina preferibile, disponibilità full time. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Portiere di notte - Contratto a norma;True;78;31;[];True;Portiere di notte;LiftTech;07:00-19:11;COOPERATIVA;5268.65;Laboratorio Firenze;Richiesta affidabilità, capacità di gestione reception durante la notte e conoscenza base di inglese. Contratto regolare. Livello di istruzione richiesto: diploma.;volontario3@example.com
Tecnico informatico junior - Formazione inclusa;True;79;71;[];True;Tecnico informatico junior;ElettroService;10:00-19:11;ALTRO;3695.23;Divisione Tecnica Bologna;Richiesta passione per l'informatica, capacità di problem solving e disponibilità a imparare. Formazione inclusa. Livello di istruzione richiesto: diploma tecnico.;volontario2@example.com
Sviluppatore software cercasi - Contratto a progetto;True;80;29;[];True;Sviluppatore software;EcoManutenzioni;10:00-18:11;PART_TIME;5881.96;Filiale Centro;Esperienza nella programmazione (Java, Python o simili). Contratto a progetto per sviluppo applicazioni. Livello di istruzione richiesto: laurea in informatica o equivalente.;volontario1@example.com
Addetto/a assistenza IT - Opportunità stabile;True;81;47;[];True;Addetto/a assistenza IT;Carpenteria Italiana;08:00-19:12;COOPERATIVA;1868.61;Filiale Centro;Esperienza in assistenza tecnica e manutenzione di sistemi informatici. Opportunità stabile. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Web designer per progetti locali - Lavoro flessibile;True;82;92;[];True;Web designer;TecnoMetal;07:00-18:12;PROGETTO;3962.89;Hub Tecnologico Genova;Conoscenza di HTML, CSS, WordPress e strumenti grafici. Lavoro flessibile con focus su progetti locali. Livello di istruzione richiesto: diploma o corso specifico.;volontario2@example.com
Specialista reti e telecomunicazioni - Posizione immediata;True;83;46;[];True;Specialista reti;LiftTech;09:00-17:12;COLLABORAZIONE;5253.41;Filiale Centro;Esperienza nella configurazione di reti e sistemi di telecomunicazione. Posizione immediata. Livello di istruzione richiesto: laurea o diploma tecnico.;volontario1@example.com
Programmatore junior - Opportunità in team esperto;True;84;87;[];True;Programmatore junior;Carpenteria Italiana;07:00-19:12;PROGETTO;4708.93;Centro Manutenzioni Napoli;Conoscenza base di linguaggi di programmazione (C++, Java, ecc.). Opportunità di crescita in team esperto. Livello di istruzione richiesto: diploma o laurea.;volontario3@example.com
Supporto tecnico hardware - Inizio immediato;True;85;32;[];True;Supporto tecnico hardware;Verniciature Rossi;10:00-19:12;COLLABORAZIONE;3842.76;Headquarters Milano;Competenze nella riparazione e manutenzione di hardware informatico. Inizio immediato. Livello di istruzione richiesto: diploma tecnico.;volontario2@example.com
Grafico/a freelance - Collaborazione creativa;True;86;35;[];True;Grafico/a freelance;GreenGarden;10:00-18:12;COOPERATIVA;5787.55;Stabilimento Nord;Conoscenza di software grafici (Photoshop, Illustrator). Creatività e flessibilità per collaborazioni. Livello di istruzione richiesto: diploma o equivalente.;volontario1@example.com
Data entry per gestione database - Lavoro part time;True;87;9;[];True;Data entry;GreenGarden;08:00-19:13;INTERNSHIP;4082.38;Centro Manutenzioni Napoli;Precisione e velocità nella gestione e inserimento dati. Lavoro part time. Livello di istruzione richiesto: diploma.;volontario3@example.com
Addetto/a social media marketing - Contratto iniziale;True;88;40;[];True;Addetto/a social media marketing;IdroPower;07:00-18:13;PROGETTO;1655.96;Filiale Centro;Conoscenza delle principali piattaforme social, competenze di copywriting e analisi. Contratto iniziale. Livello di istruzione richiesto: diploma o corso specifico.;volontario2@example.com
Sarto/a per sartoria locale - Lavoro su misura;True;89;52;[];True;Sarto/a;GreenGarden;09:00-17:13;PART_TIME;1909.36;Divisione Tecnica Bologna;Esperienza nella creazione e modifica di abiti su misura. Precisione e attenzione ai dettagli richieste. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Falegname cercasi - Contratto stabile;True;90;80;[];True;Falegname;LiftTech;07:00-19:13;INTERNSHIP;3887.51;Laboratorio Firenze;Conoscenza della lavorazione del legno e utilizzo di strumenti professionali. Contratto stabile. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Operaio/a tessile - Produzione di qualità;True;91;69;[];True;Operaio/a tessile;ElettroService;10:00-19:13;PROGETTO;3567.21;Filiale Centro;Esperienza in macchine tessili preferibile. Precisione nella produzione e controllo qualità. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a assemblaggio - Inizio immediato;True;92;69;[];True;Addetto/a assemblaggio;ArredoMobili;10:00-18:13;COLLABORAZIONE;2619.25;Sede Operativa Sud;Capacità manuali e velocità nell'assemblaggio di componenti. Inizio immediato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Tecnico riparazioni elettrodomestici - Formazione offerta;True;93;52;[];True;Tecnico riparazioni elettrodomestici;GreenGarden;08:00-19:14;ALTRO;5185.79;Centro Manutenzioni Napoli;Competenze tecniche di base e disponibilità ad apprendere nuove abilità. Formazione garantita. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Calzolaio per bottega artigianale - Posizione stabile;True;94;52;[];True;Calzolaio;LiftTech;07:00-18:14;PROGETTO;1746.28;Filiale Centro;Esperienza nella riparazione e creazione di calzature artigianali. Posizione stabile. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a lavorazione metalli - Opportunità locale;True;95;50;[];True;Addetto/a lavorazione metalli;TecnoMetal;09:00-17:14;ALTRO;2489.85;UnitÃ  Produttiva Roma;Conoscenza base della lavorazione dei metalli e utilizzo di macchinari specifici. Opportunità locale. Livello di istruzione richiesto: diploma tecnico.;volontario1@example.com
Restauratore di mobili - Collaborazione regolare;True;96;54;[];True;Restauratore di mobili;Verniciature Rossi;07:00-19:14;PROGETTO;5376.66;UnitÃ  Produttiva Roma;Esperienza nella riparazione e restauro di mobili antichi. Collaborazione regolare. Livello di istruzione richiesto: diploma tecnico o artistico.;volontario3@example.com
Ceramista per laboratorio artistico - Contratto flessibile;True;97;34;[];True;Ceramista;ArredoMobili;10:00-19:14;PROGETTO;2225.97;Divisione Tecnica Bologna;Abilità nella modellazione e decorazione della ceramica. Contratto flessibile per progetti creativi. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
